type,bodyId,hemilineage,side,nt,sign,from_legs,to_legs,interleg_syn,leg_out_syn,mn_direct_syn,total_out_syn,frac_interleg,contra_syn,ipsi_syn,diag_syn,top_pairs,class
IN08A024,808819,08A,R,glutamate,-1,rm,rm,82.1,604.0,0.0,670,0.123,0.0,82.1,0.0,rf->rm rh->rm,ipsilateral
IN12B007,800784,12B,R,gaba,-1,lm,lm,82.0,1783.0,5.0,5047,0.016,17.1,64.5,0.4,lm->lh rm->lm lh->lm,ipsilateral
IN06B067,801966,06B,L,gaba,-1,lh,lf|rf,82.0,92.0,0.0,761,0.108,5.0,44.0,33.0,lh->lf lh->rf,both
IN03A067,804370,03A,L,acetylcholine,1,lf,lf|lm,82.0,322.0,0.0,482,0.17,29.0,53.0,0.0,lf->lm lf->rf,both
INXXX369,805466,XXX (unassigned),R,gaba,-1,lh,lh|rh,82.0,175.0,0.0,1139,0.072,71.0,0.0,11.0,lh->rh lh->rm,contralateral
IN13A042,809596,13A,R,gaba,-1,rf,rf,82.0,470.0,265.0,470,0.174,76.0,5.1,0.9,lf->rf rf->lf,contralateral
IN12B054,811054,12B,R,gaba,-1,rm,lm|rh,82.0,82.0,32.0,217,0.378,50.0,20.0,12.0,rm->lm rm->rh rm->lh,both
IN12B054,811774,12B,R,gaba,-1,rm|lf,lh|lm|rh,82.0,82.0,48.0,210,0.39,15.1,27.4,39.5,rm->lh rm->lm rm->rh,both
IN03A055,815261,03A,R,acetylcholine,1,rh,rh,82.0,686.0,89.0,770,0.106,47.8,33.7,0.4,lh->rh rm->rh,both
IN13A021,906757,13A,R,gaba,-1,rm,rm,82.0,757.0,153.0,1000,0.082,10.0,71.0,1.0,rm->rf lm->rm,ipsilateral
IN07B061,802630,07B,L,glutamate,-1,lh|rh,rh|lh,81.9,141.0,9.0,1090,0.075,61.9,9.5,10.5,lh->rh rh->lh,contralateral
IN06B053,806493,06B,R,gaba,-1,lh,rh|rm|lh,81.9,102.0,0.0,826,0.099,30.9,23.0,28.0,lh->rh lh->rm lh->lf,both
IN21A002,801017,21A,L,glutamate,-1,lf,lf,81.8,1600.0,480.0,1762,0.046,21.8,59.5,0.4,lm->lf lf->rf rf->lf,ipsilateral
IN01A056,805723,01A,R,acetylcholine,1,lm,lm,81.8,927.0,72.0,1091,0.075,0.0,81.8,0.0,lm->lf lh->lm lf->lm,ipsilateral
IN20A.22A048,807624,20A/22A,R,acetylcholine,1,rh,rh,81.8,470.0,35.0,623,0.131,6.9,73.8,1.1,rm->rh rh->rm,ipsilateral
IN16B123,810816,16B,R,glutamate,-1,rf|lf,rf|rm|lf,81.8,132.0,0.0,244,0.335,42.8,22.8,16.2,lf->rf rf->rm rf->lf,both
IN06A012,804645,06A,R,gaba,-1,lh|lf|rf,lh|lf|rh,81.7,106.0,0.0,1716,0.048,14.2,40.3,27.2,lf->lh rf->lh lh->lf,both
IN23B008,801128,23B,L,acetylcholine,1,lm|lf|lh,lh|rh,81.6,95.0,0.0,1458,0.056,13.2,34.6,33.8,lm->lh lm->rh lf->lh,both
"IN17A059,IN17A063",805013,17A,R,acetylcholine,1,rh|rf,rh,81.6,228.0,0.0,1178,0.069,32.5,46.4,2.7,rf->rh lh->rh,both
IN08A048,812585,08A,R,glutamate,-1,rh,rh,81.6,466.0,234.0,474,0.172,7.2,68.6,5.8,rm->rh rf->rh,ipsilateral
IN21A028,804697,21A,R,glutamate,-1,rh,rh,81.5,517.0,252.0,552,0.148,31.6,46.5,3.4,rm->rh rh->lh,both
IN20A.22A065,809075,20A/22A,L,acetylcholine,1,lm,lm,81.5,442.0,69.0,442,0.184,0.0,81.5,0.0,lf->lm lm->lh lh->lm,ipsilateral
IN12B071,811578,12B,L,gaba,-1,rh|rm|lh,rh|rm,81.5,145.0,0.0,321,0.254,21.4,49.1,11.0,rh->rm rm->rh lh->rh,both
IN03A084,909136,03A,R,acetylcholine,1,rf|rm,rf,81.5,199.0,54.0,219,0.372,4.5,61.5,15.5,rm->rf rf->lm rf->rm,ipsilateral
IN26X003,804672,26X,L,gaba,-1,rm,rm,81.4,1306.0,155.0,1427,0.057,0.0,18.2,63.2,lf->rm rh->rm,both
IN12B034,806311,12B,R,gaba,-1,lm,lm,81.4,389.0,32.0,694,0.117,0.7,75.2,5.5,lm->lh lf->lm lm->lf,ipsilateral
IN12B068_a,805793,12B,L,gaba,-1,rh|lm|lh|rm,rh,81.1,119.0,0.0,791,0.102,30.1,20.9,30.0,lm->rh lh->rh rm->rh,both
IN18B047,809565,18B,L,acetylcholine,1,rm|rf|lf,rh|rm|lh,81.1,93.0,5.0,310,0.262,4.3,47.1,29.6,rm->rh rf->rh lf->rh,both
IN08A043,809949,08A,R,glutamate,-1,rh,rh,81.1,653.0,578.0,688,0.118,24.3,56.8,0.0,rm->rh lh->rh,both
IN10B032,801024,10B,R,acetylcholine,1,rh,rh|lf|rm|lh,81.0,115.0,0.0,521,0.155,21.0,21.0,39.0,rh->lf rh->rm rh->lh,both
