s,t,flyvis_syn_per_target,malecns_syn_per_target,strength,sign,ratio
Mi13,L5,7.86904764175415,12.852941176470589,0.0454992912709713,-1.0,1.6333540933557547
Mi13,Mi1,15.534523963928223,21.956398640996603,0.06794441491365433,-1.0,1.413393721750356
Mi13,T2,7.3333330154418945,9.931650246305418,0.02586590312421322,-1.0,1.3543160013860291
Mi13,Tm1,25.500001907348633,22.107042253521126,2.6922982215182856e-05,-1.0,0.866942768625844
Mi13,Tm2,14.291666030883789,21.78130311614731,0.037164535373449326,-1.0,1.5240562625154184
Mi13,Tm3,5.652777671813965,10.718074656188605,0.08486124873161316,-1.0,1.8960722105932741
Mi13,Tm4,19.866666793823242,24.473652694610777,0.028202751651406288,-1.0,1.2318952619782144
Mi13,Tm9,1.25,3.4335378323108383,0.09715202450752258,-1.0,2.7468302658486707
Mi14,Tm1,1.3333333730697632,5.752681764004768,0.016698431223630905,-1.0,4.314511194421122
Mi14,Tm4,4.0,11.194915254237289,1.6668271882736008e-06,-1.0,2.7987288135593222
Mi14,TmY3,1.6666666269302368,14.392204628501828,0.006860768888145685,-1.0,8.63532298298324
Mi15,C3,5.857143402099609,4.584433634468381,5.32736667082645e-05,1.0,0.7827081086703459
Mi15,Mi4,4.857143402099609,5.681372549019608,0.02119281142950058,1.0,1.1696942170914095
Mi15,Mi10,1.25,4.616766467065868,0.23115642368793488,1.0,3.6934131736526945
Mi15,Mi15,9.133333206176758,7.49113475177305,0.0,1.0,0.8201972470145829
Mi15,Tm5c,1.0,7.1737849779086895,0.1375369429588318,1.0,7.1737849779086895
T1,L2,5.1999993324279785,2.0751565762004174,0.0,1.0,0.3990686235783587
T1,L5,1.0,1.8114035087719298,7.033806468825787e-05,1.0,1.8114035087719298
T1,Tm20,1.5555557012557983,1.310077519379845,1.827771120588295e-05,1.0,0.8421926121463995
T2,Lawf2,7.333333492279053,34.91383812010444,0.014825986698269844,1.0,4.760977822277372
T2,Mi1,6.57193660736084,8.756345177664974,1.3260353171062889e-06,1.0,1.3323843032596367
T2,T2,29.841270446777344,26.284223449969307,0.02352547086775303,1.0,0.8808010871000912
T2,Tm5c,6.0,9.07171853856563,0.05820867791771889,1.0,1.5119530897609383
T2,TmY5a,5.458333492279053,23.04765395894428,0.018412748351693153,1.0,4.222470831352784
T2,TmY15,5.666666507720947,5.2030456852791875,0.0032602231949567795,1.0,0.9181845584507105
T2a,Mi1,5.90000057220459,7.0954022988505745,5.2579835028154776e-05,1.0,1.2026104424934507
T2a,T3,1.25,1.7678571428571428,0.09368468821048737,1.0,1.4142857142857141
T2a,Tm3,2.6000001430511475,4.375254582484725,0.05977974832057953,1.0,1.6827901314460254
T2a,Tm5Y,2.6666665077209473,13.665551839464882,0.07226066291332245,1.0,5.124582245248235
T2a,Tm5b,1.0,6.371900826446281,0.032265547662973404,1.0,6.371900826446281
T2a,Tm28,4.400000095367432,,4.905825699097477e-05,1.0,
T2a,TmY4,3.4285717010498047,11.17572463768116,0.0006883588503114879,1.0,3.2595860936083767
T2a,TmY5a,14.034523010253906,20.34189288334556,0.031238926574587822,1.0,1.4494181860319273
T2a,TmY9,3.125,,0.10939879715442657,1.0,
T3,T2,2.0,5.346375881975625,0.07440336048603058,1.0,2.6731879409878125
T3,T2a,4.75,2.0657791699295225,0.07548505067825317,1.0,0.43490087787989945
T3,Tm3,3.9166665077209473,9.333497294638466,0.06393011659383774,1.0,2.3830206825726137
T4a,C3,5.177777290344238,7.204245553643144,7.751715020276606e-05,1.0,1.3913780276100247
T4a,CT1(M10),5.000000476837158,5104.0,0.03869832679629326,1.0,1020.799902648935
T4a,Mi9,4.0714287757873535,5.609411764705882,0.0,1.0,1.3777501888439903
T4a,Mi12,6.300000190734863,,0.026397518813610077,1.0,
T4a,T4a,27.922460556030273,18.71080760095012,0.017263954505324364,1.0,0.6700988103610819
